gene,transcript,transcript_coordinates,type,coordinates
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,exon,1-388
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,exon,494-1266
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,intron,389-493
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,5' utr,1-101
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,coding_region,102-388
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,coding_region,494-1067
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,3' utr,1068-1266
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.1,33873269-33876381,exon,1-1296
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.1,33873269-33876381,exon,1811-3113
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.1,33873269-33876381,intron,1297-1810
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.1,33873269-33876381,5' utr,1-75
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.1,33873269-33876381,coding_region,76-1296
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.1,33873269-33876381,coding_region,1811-2938
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.1,33873269-33876381,3' utr,2939-3113
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.2,33873274-33876380,exon,1-3107
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.2,33873274-33876380,5' utr,1-70
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.2,33873274-33876380,coding_region,71-1354
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.2,33873274-33876380,3' utr,1355-3107
BaRT2v18chr3HG122910,BaRT2v18chr3HG122910.1,33174329-33177081,exon,1-48
BaRT2v18chr3HG122910,BaRT2v18chr3HG122910.1,33174329-33177081,exon,1442-2366
BaRT2v18chr3HG122910,BaRT2v18chr3HG122910.1,33174329-33177081,exon,2503-2753
BaRT2v18chr3HG122910,BaRT2v18chr3HG122910.1,33174329-33177081,intron,49-1441
BaRT2v18chr3HG122910,BaRT2v18chr3HG122910.1,33174329-33177081,intron,2367-2502
BaRT2v18chr3HG122910,BaRT2v18chr3HG122910.1,33174329-33177081,5' utr,1-48
BaRT2v18chr3HG122910,BaRT2v18chr3HG122910.1,33174329-33177081,coding_region,1443-2366
BaRT2v18chr3HG122910,BaRT2v18chr3HG122910.1,33174329-33177081,coding_region,2503-2508
BaRT2v18chr3HG122910,BaRT2v18chr3HG122910.1,33174329-33177081,3' utr,2509-2753
BaRT2v18chr3HG123210,BaRT2v18chr3HG123210.1,35324957-35329217,exon,1-1978
BaRT2v18chr3HG123210,BaRT2v18chr3HG123210.1,35324957-35329217,exon,3585-4261
BaRT2v18chr3HG123210,BaRT2v18chr3HG123210.1,35324957-35329217,intron,1979-3584
BaRT2v18chr3HG123210,BaRT2v18chr3HG123210.1,35324957-35329217,5' utr,1-321
BaRT2v18chr3HG123210,BaRT2v18chr3HG123210.1,35324957-35329217,coding_region,322-540
BaRT2v18chr3HG123210,BaRT2v18chr3HG123210.1,35324957-35329217,3' utr,541-1978
BaRT2v18chr3HG123210,BaRT2v18chr3HG123210.1,35324957-35329217,3' utr,3585-4261
BaRT2v18chr3HG123200,BaRT2v18chr3HG123200.1,35324087-35324557,exon,1-471
BaRT2v18chr3HG123200,BaRT2v18chr3HG123200.1,35324087-35324557,5' utr,1-111
BaRT2v18chr3HG123200,BaRT2v18chr3HG123200.1,35324087-35324557,coding_region,112-471
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,exon,1-362
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,exon,469-1273
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,intron,363-468
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,5' utr,1-92
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,coding_region,93-362
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,coding_region,469-1032
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,3' utr,1033-1273
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.2,35119004-35120226,exon,1-1223
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.2,35119004-35120226,5' utr,1-90
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.2,35119004-35120226,coding_region,91-372
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.2,35119004-35120226,3' utr,373-1223
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,exon,1-969
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,exon,1772-2530
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,intron,970-1771
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,5' utr,1-42
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,coding_region,43-969
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,coding_region,1772-2395
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,3' utr,2396-2530
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.1,35319605-35320175,exon,1-571
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.1,35319605-35320175,5' utr,1-187
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.1,35319605-35320175,coding_region,188-403
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.1,35319605-35320175,3' utr,404-571
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.2,35319608-35320180,exon,1-85
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.2,35319608-35320180,exon,170-573
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.2,35319608-35320180,intron,86-169
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.2,35319608-35320180,5' utr,1-85
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.2,35319608-35320180,5' utr,170-184
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.2,35319608-35320180,coding_region,185-400
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.2,35319608-35320180,3' utr,401-573
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.3,35319608-35320175,exon,1-85
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.3,35319608-35320175,exon,178-568
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.3,35319608-35320175,intron,86-177
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.3,35319608-35320175,5' utr,1-85
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.3,35319608-35320175,5' utr,178-184
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.3,35319608-35320175,coding_region,185-400
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.3,35319608-35320175,3' utr,401-568
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.1,36310093-36311941,exon,1-1849
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.1,36310093-36311941,5' utr,1-60
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.1,36310093-36311941,coding_region,61-840
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.1,36310093-36311941,3' utr,841-1849
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,exon,1-761
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,exon,1223-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,exon,1474-1849
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,intron,762-1222
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,intron,1313-1473
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,5' utr,1-56
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,coding_region,57-761
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,coding_region,1223-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,coding_region,1474-1689
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,3' utr,1690-1849
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,exon,1-761
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,exon,1226-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,exon,1474-1849
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,intron,762-1225
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,intron,1313-1473
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,5' utr,1-56
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,coding_region,57-761
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,coding_region,1226-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,coding_region,1474-1689
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,3' utr,1690-1849
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.4,36310097-36311949,exon,1-1014
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.4,36310097-36311949,exon,1223-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.4,36310097-36311949,exon,1474-1853
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.4,36310097-36311949,intron,1015-1222
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.4,36310097-36311949,intron,1313-1473
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.4,36310097-36311949,5' utr,1-56
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.4,36310097-36311949,coding_region,57-836
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.4,36310097-36311949,3' utr,837-1014
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.4,36310097-36311949,3' utr,1223-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.4,36310097-36311949,3' utr,1474-1853
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.5,36310097-36311941,exon,1-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.5,36310097-36311941,exon,1474-1845
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.5,36310097-36311941,intron,1313-1473
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.5,36310097-36311941,5' utr,1-56
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.5,36310097-36311941,coding_region,57-836
