gene,transcript,transcript_coordinates,type,coordinates
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,SANT/Myb domain,338-388
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,SANT/Myb domain,494-561
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,SANT/Myb domain,167-308
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,Myb domain,152-320
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,Myb domain,323-388
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,Myb domain,494-579
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,SANT/Myb domain,332-388
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,SANT/Myb domain,494-558
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,Homeobox-like domain superfamily,164-388
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,Homeobox-like domain superfamily,494-555
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,SANT/Myb domain,164-314
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,SANT/Myb domain,323-388
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,SANT/Myb domain,494-573
BaRT2v18chr3HG123260,BaRT2v18chr3HG123260.1,35765879-35767144,SANT/Myb domain,176-308
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.1,33873269-33876381,Glycosyl hydrolases 36,78-1296
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.1,33873269-33876381,Glycosyl hydrolases 36,1811-2936
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.1,33873269-33876381,Glycoside hydrolase superfamily,711-1296
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.1,33873269-33876381,Glycoside hydrolase superfamily,1811-2270
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.1,33873269-33876381,Glycosyl hydrolases 36,174-1296
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.1,33873269-33876381,Glycosyl hydrolases 36,1811-2882
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.2,33873274-33876380,Glycosyl hydrolases 36,169-1294
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.2,33873274-33876380,Glycoside hydrolase superfamily,706-1306
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.2,33873274-33876380,Aldolase-type TIM barrel,706-913
BaRT2v18chr3HG123040,BaRT2v18chr3HG123040.2,33873274-33876380,Glycosyl hydrolases 36,145-1294
BaRT2v18chr3HG122910,BaRT2v18chr3HG122910.1,33174329-33177081,Water stress and hypersensitive response domain,1973-2321
BaRT2v18chr3HG122910,BaRT2v18chr3HG122910.1,33174329-33177081,Water stress and hypersensitive response domain,1595-1946
BaRT2v18chr3HG122910,BaRT2v18chr3HG122910.1,33174329-33177081,Late embryogenesis abundant protein,2036-2315
BaRT2v18chr3HG122910,BaRT2v18chr3HG122910.1,33174329-33177081,Late embryogenesis abundant protein,1658-1937
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,Glycoside hydrolase family 16,152-362
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,Glycoside hydrolase family 16,469-838
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,Xyloglucan endo-transglycosylase,889-1021
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,Beta-glucanase,550-589
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,Beta-glucanase,604-655
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,Beta-glucanase,266-320
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,Glycoside hydrolase family 16,218-362
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,Glycoside hydrolase family 16,469-814
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,Concanavalin A-like lectin/glucanase domain superfamily,218-362
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,Concanavalin A-like lectin/glucanase domain superfamily,469-1024
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,Xyloglucan endotransglucosylase/hydrolase,95-362
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.1,35119002-35120274,Xyloglucan endotransglucosylase/hydrolase,469-1030
