Transcript,position_start, position_end, label, depth, colour
BaRT2v18chr3HG123260.1,35766007,35766007, ,-0.3527546437430802, orange
BaRT2v18chr3HG123260.1,35766138,35766138, ,-0.12936699416704553, blue
BaRT2v18chr3HG123260.1,35766222,35766222, ,-0.17521245583903167, blue
BaRT2v18chr3HG123260.1,35766597,35766597, ,-0.17846992983838725, blue
BaRT2v18chr3HG123260.1,35766622,35766622, ,-0.15273524595601415, blue
BaRT2v18chr3HG123260.1,35766680,35766680, ,-0.37436741703148535, orange
BaRT2v18chr3HG123260.1,35766696,35766696, ,-0.1933690687020369, blue
BaRT2v18chr3HG123260.1,35766755,35766755, ,-0.33597200944004746, orange
BaRT2v18chr3HG123040.1,33873335,33873335, ,-0.1383768535170063, blue
BaRT2v18chr3HG123040.1,33873337,33873337, ,-0.10380734527912723, blue
BaRT2v18chr3HG123040.1,33873343,33873343, ,-0.10236515822925263, blue
BaRT2v18chr3HG123040.1,33873492,33873492, ,-0.3754205153670463, orange
BaRT2v18chr3HG123040.1,33873694,33873694, ,-0.12408252190258606, blue
BaRT2v18chr3HG123040.1,33873715,33873715, ,-0.3885768352676785, orange
BaRT2v18chr3HG123040.1,33873802,33873802, ,-0.35148306339481256, orange
BaRT2v18chr3HG123040.1,33873988,33873988, ,-0.19767895871682045, blue
BaRT2v18chr3HG123040.1,33876153,33876153, ,-0.344965806675852, orange
BaRT2v18chr3HG123040.1,33876216,33876217, ,-0.14204932261921163, blue
BaRT2v18chr3HG123040.1,33876241,33876241, ,-0.169397291435684, blue
BaRT2v18chr3HG123040.1,33876282,33876282, ,-0.12718008716159412, blue
BaRT2v18chr3HG123040.1,33876372,33876373, ,-0.10380131050935766, blue
BaRT2v18chr3HG123040.2,33873335,33873335, ,-0.16471847624672842, blue
BaRT2v18chr3HG123040.2,33873337,33873337, ,-0.10083314739229905, blue
BaRT2v18chr3HG123040.2,33873343,33873343, ,-0.14282207325266827, blue
BaRT2v18chr3HG123040.2,33873492,33873492, ,-0.3528928104823901, orange
BaRT2v18chr3HG123040.2,33873694,33873694, ,-0.18004679439905752, blue
BaRT2v18chr3HG123040.2,33873715,33873715, ,-0.3420562573280504, orange
BaRT2v18chr3HG123040.2,33873802,33873802, ,-0.3409843409392511, orange
BaRT2v18chr3HG123040.2,33873988,33873988, ,-0.13453145629742735, blue
BaRT2v18chr3HG123040.2,33875039,33875039, ,-0.16152831426560638, blue
BaRT2v18chr3HG123040.2,33876153,33876153, ,-0.18270072844805332, blue
BaRT2v18chr3HG123040.2,33876216,33876217, ,-0.18070721957536195, blue
BaRT2v18chr3HG123040.2,33876241,33876241, ,-0.19066980309402937, blue
BaRT2v18chr3HG123040.2,33876282,33876282, ,-0.14328017559397874, blue
BaRT2v18chr3HG123040.2,33876372,33876373, ,-0.12453603601030094, blue
BaRT2v18chr3HG122910.1,33174355,33174355, ,-0.1368624588862372, blue
BaRT2v18chr3HG122910.1,33174373,33174373, ,-0.11792768747519018, blue
BaRT2v18chr3HG123130.1,35119035,35119035, ,-0.1209929926411925, blue
